snapshot,THSO3-,THU-3L5,THU-6L5,SCORRA3A,STROMN3A,STROMN1A,STROMN3B,STROMN1B,STROMN3C,BURGAR3A,BURGAR3B,BURGAR1A,ROUSAY3A,ROUSAY3B,ROUSAY1A,WESTRY3A,WESTRY1A,EDAY3A,EDAY1A,SANDAY3A,SANDAY1A,STRONS3A,STRONS1A,SHAPIN3A,SHAPIN1A,KIRKWA3A,KIRKWA1A,KIRKWA1B,STMARY3A,STMARY1A,NTHHOY3A,NTHHOY3B,NTHHOY1A,LYNESS3A,LYNESS3B,LYNESS1A,FLOTTA3A,FLOTTA3B,FLOTTA1A,NORTHF1A,FLTOCC3B,SCORRA3B,EDAY3B,FLTOCC1C,KIRKWA1C,SANDAY3B,STRONS3B,KIRKWA3B,THORNF1B,THORNFG1,THORNFG2,THORNF1A,SIGURD1A,SIGURDG1,STRONS3C,SPURNE3-,SPURNE3A,METC1,FLOTTA1B,NWP3-,HAMMARS3A,SCORRA3C,NEWBIG3A,NEWBIG1A,NEWBIG1B,NEWBIG1C,NEWBIG1D,BARNS3WA,BARNS3WB,EDAY3C,STHHOY3A,STHHOY3B,NEWHOL3A
2019-01-01 00:00:00,1.0,1.000024725317633,1.00001806167216,0.9973679852401843,1.0,1.0,1.000031591132251,1.0,0.9900987240903685,0.9999690935477887,1.0,1.0,0.9981953347850533,0.9981924592612895,1.0019841301773877,0.9979529792013763,1.0,0.9986510087342563,1.009987828352826,0.999869250915272,1.0055397418417735,1.0003503177010256,1.0103326803468047,0.9918584585851381,1.0,0.9873184023582187,0.9999746633921804,1.0,0.9901442536620755,1.0,0.9976334061016378,0.997621167234874,1.0,0.9959869589099533,0.9959853165480962,1.0,0.9968565418232868,0.996849785785946,1.0003866511786033,1.0,0.9969475737726207,0.9945539080675777,0.9992195863406,1.0,0.9999832933401689,0.999869250915272,1.0003503177010256,0.9880065717898755,1.0,1.0,1.0,1.000117258886678,0.9999933337101486,0.9864770408696701,1.0,0.9999330167808053,1.0,1.0,1.0,1.0,1.0,0.9921463124255441,0.998337445616711,1.0,1.0,1.0,1.0,0.9910719393061032,1.0,0.9992090768268865,1.0012737398907066,0.9994463200733178,0.9948478609821156
2019-01-01 01:00:00,1.0,1.0000256054805237,1.000018951367257,0.9984921740660895,1.0,1.0,1.000022194491477,1.0,0.9915331839609234,0.9999745680902642,1.0,1.0,0.9986166260341943,0.9986141325081107,1.0036791824126037,0.9983262776459667,1.0,0.9988466143649427,1.0104346477363517,0.9999025095282279,1.0065858414650948,1.0003620657006362,1.0107726737592675,0.992759435643344,1.0,0.9886074619870114,0.9999864359912942,1.0,0.9910961934367909,1.0,0.9990007605251576,0.9989880300315533,1.0,0.9977238486220162,0.9977216628768599,1.0,0.9989766055131054,0.9989688452958282,1.0004827901528448,1.0,0.9991020586559868,0.995335558175007,0.9993427026832684,1.0,0.9999897027876531,0.9999025095282279,1.0003620657006362,0.9892618044623807,1.0,1.0,1.0,1.0001172588866776,0.9999933337101488,0.9864770408696701,1.0,0.9999477999402032,1.0,1.0,1.0,1.0,1.0,0.9929784239928822,0.998527632925915,1.0,1.0,1.0,1.0,0.9919685379589059,1.0,0.9993337055396467,1.001818432487974,0.9999965765285204,0.9953992961849443
2019-01-01 02:00:00,1.0,1.0000241597613582,1.0000174899908831,0.9966457486835013,1.0,1.0,1.0000370943812984,1.0,0.9891940101796126,0.9999656455040133,1.0,1.0,0.9979399380049638,0.9979368276193298,1.0009564854141029,0.9977270842243641,1.0,0.9985326652024883,1.0097185883459383,0.9998491780758703,1.0049071608762095,1.000343132391252,1.0100676513999134,0.9912994317914103,1.0,0.9865179414393682,0.9999674159254843,1.0,0.9895552399840699,1.0,0.9967619913138291,0.9967500844635102,1.0,0.9948954106373586,0.9948941054624197,1.0,0.99554009309203,0.9955339627912918,1.0003270623140659,1.0,0.9956109573020658,0.9940517357687643,0.9991451284506538,1.0,0.9999793557112617,0.9998491780758703,1.000343132391252,0.9872258915518567,1.0,1.0,1.0,1.0001172588866778,0.9999933337101486,0.9864770408696703,1.0,0.9999240850806299,1.0,1.0,1.0,1.0,1.0,0.9916117213444777,0.9982223800876787,1.0,1.0,1.0,1.0,0.9905161378642127,1.0,0.9991337035163008,1.0009237750184679,0.9990927984252735,0.9945059136954569
2019-01-01 03:00:00,1.0,1.0000246885041717,1.0000180244600068,0.9973209701934057,1.0,1.0,1.0000319612536435,1.0,0.9900394589722816,0.9999688675660855,1.0,1.0,0.9981783697829958,0.9981754787344957,1.001915869461143,0.9979379644223912,1.0,0.9986431421323999,1.0099699059305787,0.9998679154789649,1.005497684962149,1.0003498418766057,1.010315035886289,0.9918216286952849,1.0,0.9872656806970154,0.9999741845917874,1.0,0.9901054097138109,1.0,0.9975765229678731,0.9975643053564749,1.0,0.9959153605021368,0.995913740354527,1.0,0.9967698309638368,0.9967631160921743,1.000382723734974,1.0,0.9968595068499891,0.9945212184311246,0.9992146362609743,1.0,0.9999830330137615,0.9998679154789649,1.0003498418766057,0.9879551810653306,1.0,1.0,1.0,1.0001172588866778,0.9999933337101485,0.98647704086967,1.0,0.9999324227814,1.0,1.0,1.0,1.0,1.0,0.9921115124349946,0.9983297969155001,1.0,1.0,1.0,1.0,0.9910353095460911,1.0,0.9992040659067776,1.0012509590447203,0.9994233072713622,0.994825327813857
2019-01-01 04:00:00,1.0,1.0000249075045857,1.0000182458322058,0.9976006649324989,1.0,1.0,1.000029733745175,1.0,0.9903928379234842,0.9999702152551575,1.0,1.0,0.998280028578059,0.9982772303945481,1.0023249025232623,0.998027957225577,1.0,0.9986902926975738,1.0100773832139578,0.999875922211064,1.005749779988392,1.0003526899923356,1.0104208509606418,0.992041682223715,1.0,0.987580654003685,0.9999770481654405,1.0,0.9903375776477014,1.0,0.9979152619977133,0.9979029187131905,1.0,0.9963424717606496,0.9963407188874888,1.0,0.9972878681891678,0.9972809074885907,1.0004061928114263,1.0,0.9973857048086128,0.9947156906168317,0.9992443073134528,1.0,0.9999845903575125,0.999875922211064,1.0003526899923356,0.9882621428872863,1.0,1.0,1.0,1.000117258886678,0.9999933337101485,0.9864770408696701,1.0,0.999935983685826,1.0,1.0,1.0,1.0,1.0,0.9923185392292393,0.9983756414283457,1.0,1.0,1.0,1.0,0.991254192630386,1.0,0.9992341016018689,1.0013864820865153,0.9995602110956636,0.9949599703921396
2019-01-01 05:00:00,1.0,1.0000247620053817,1.0000180987572382,0.9974148401345055,1.0,1.0,1.000031220556744,1.0,0.9901578412853411,0.9999693189810633,1.0,1.0,0.9982122910351259,0.9982094310171901,1.0020523554527214,0.9979679875867178,1.0,0.9986588720653893,1.0100057469834034,0.9998705859593385,1.005581782303968,1.0003507930704578,1.0103503213681555,0.991895226574503,1.0,0.9873710333173439,0.9999751415757354,1.0,0.990183037738027,1.0,0.9976901181212154,0.9976778581234226,1.0,0.9960583916345372,0.9960567270958613,1.0,0.996943103801866,0.9969363066767003,1.0003905722357262,1.0,0.9970354934431459,0.9945864863491385,0.9992245344581416,1.0,0.9999835533581347,0.9998705859593385,1.0003507930704578,0.9880578700836592,1.0,1.0,1.0,1.0001172588866778,0.9999933337101488,0.9864770408696703,1.0,0.9999336105740824,1.0,1.0,1.0,1.0,1.0,0.9921809938732931,0.9983450911373286,1.0,1.0,1.0,1.0,0.9911085092075227,1.0,0.9992140857582199,1.001296443048648,0.999469254455589,0.9948703569537823
2019-01-01 06:00:00,1.0,1.000024236836792,1.0000175679010477,0.996744171333329,1.0,1.0,1.0000363667127603,1.0,0.9893166064131653,0.9999661125324326,1.0,1.0,0.997974105259914,0.9979710264361691,1.001093968103199,0.9977572870683833,1.0,0.9985484870740259,1.009754537007714,0.9998518595732024,1.0049917192310762,1.0003440963775145,1.0101030334764887,0.9913747905665324,1.0,0.9866258731406379,0.9999683904241339,1.0,0.9896345682502201,1.0,0.9968804481804879,0.9968684954154289,1.0,0.9950431424904678,0.9950417918612909,1.0,0.9957175884164359,0.99571137365533,1.0003350919510932,1.0,0.995791120006088,0.9941201692140261,0.9991550818080421,1.0,0.9999798848136268,0.9998518595732024,1.0003440963775145,0.9873312087077372,1.0,1.0,1.0,1.0001172588866778,0.9999933337101485,0.9864770408696699,1.0,0.9999252786660633,1.0,1.0,1.0,1.0,1.0,0.9916845726415244,0.9982377637146365,1.0,1.0,1.0,1.0,0.9905910380992065,1.0,0.9991437792788563,1.0009714676349775,0.999140974923408,0.9945519998280363
2019-01-01 07:00:00,1.0,1.000023964794162,1.0000172929121827,0.9963967902009323,1.0,1.0,1.000038905150375,1.0,0.988884826495475,0.9999644679626014,1.0,1.0,0.9978543654110027,0.9978511757870374,1.0006121523666154,0.997651464344513,1.0,0.9984930528142474,1.0096286493062216,0.9998424674284278,1.0046954758335023,1.000340714402783,1.0099791357710612,0.9911099115502521,1.0,0.9862464678107807,0.9999649685320168,1.0,0.9893558370847078,1.0,0.9964627524848132,0.9964509626673078,1.0,0.9945230923767443,0.994521901514367,1.0,0.9950936715055114,0.9950877537571825,1.0003068731332068,1.0,0.9951578968902548,0.9938786344721994,0.999120210435782,1.0,0.9999780273815223,0.9998424674284278,1.000340714402783,0.9869609230844494,1.0,1.0,1.0,1.0001172588866778,0.9999933337101485,0.98647704086967,1.0,0.9999210974834842,1.0,1.0,1.0,1.0,1.0,0.9914274451806365,0.9981838649010404,1.0,1.0,1.0,1.0,0.9903278042374758,1.0,0.9991084790168754,1.0008031356039058,0.9989709361920704,0.9943900250012504
2019-01-01 08:00:00,1.0,1.000023964794162,1.0000172929121827,0.9963967902009323,1.0,1.0,1.000038905150375,1.0,0.988884826495475,0.9999644679626014,1.0,1.0,0.9978543654110027,0.9978511757870374,1.0006121523666154,0.997651464344513,1.0,0.9984930528142474,1.0096286493062216,0.9998424674284278,1.0046954758335023,1.000340714402783,1.0099791357710612,0.9911099115502521,1.0,0.9862464678107807,0.9999649685320168,1.0,0.9893558370847078,1.0,0.9964627524848132,0.9964509626673078,1.0,0.9945230923767443,0.994521901514367,1.0,0.9950936715055114,0.9950877537571825,1.0003068731332068,1.0,0.9951578968902548,0.9938786344721994,0.999120210435782,1.0,0.9999780273815223,0.9998424674284278,1.000340714402783,0.9869609230844494,1.0,1.0,1.0,1.0001172588866778,0.9999933337101485,0.98647704086967,1.0,0.9999210974834842,1.0,1.0,1.0,1.0,1.0,0.9914274451806365,0.9981838649010404,1.0,1.0,1.0,1.0,0.9903278042374758,1.0,0.9991084790168754,1.0008031356039058,0.9989709361920704,0.9943900250012504
2019-01-01 09:00:00,1.0,1.0000240821662658,1.000017411555432,0.9965466642233807,1.0,1.0,1.0000378201360531,1.0,0.9890707999311723,0.9999651762021836,1.0,1.0,0.9979057354638714,0.9979025934401267,1.0008188596351901,0.9976968556171386,1.0,0.998516830147064,1.0096826242819827,0.9998464950009421,1.0048225364302095,1.0003421665713685,1.01003225550276,0.9912238168557065,1.0,0.9864096347275958,0.9999664388842077,1.0,0.9894756648609103,1.0,0.996642828153997,0.996630967730727,1.0,0.9947469969911659,0.9947457374248743,1.0,0.9953619856016812,0.9953559400810784,1.000319006420361,1.0,0.9954301891865831,0.9939828421619794,0.9991351671839345,1.0,0.9999788253374905,0.9998464950009421,1.0003421665713685,0.9871201922675428,1.0,1.0,1.0,1.000117258886678,0.9999933337101484,0.9864770408696698,1.0,0.9999228906650302,1.0,1.0,1.0,1.0,1.0,0.9915383801832726,0.9982069836401106,1.0,1.0,1.0,1.0,0.9904409906037961,1.0,0.9991236197366732,1.0008757613194528,0.999044297851591,0.9944596739837702
