snapshot,86139 - 86101,86160 - 86101,86123 - 86124,86123 - 86125,86102 - 86103,86104 - 86105,86138 - 86141,86161 - 86162,86108 - 86109,86113 - 86114,86126 - 86127,86111 - 86112,86121 - 86122,86135 - 86136,86147 - 86149,86148 - 86146,86151 - 86150,86117 - 86118,86119 - 86120,86132 - 86133,86168 - 86116,86129 - 86130
2019-01-01 00:00:00,0.08377245581974613,0.07851269902213742,0.5032744284895274,0.503266433049571,0.6877525662312647,0.6855249125784142,0.20546128262012564,0.08571123557661142,0.0995294219229157,0.07982875786145188,0.12798406425739764,0.054511082170914354,0.023717436347944654,0.02599771611512458,0.0294203043646295,0.029549835586846873,0.015363788632401338,0.023954131276164803,0.01360036311759208,0.030864677731139212,0.012510142890085507,0.004439849111180942
2019-01-01 01:00:00,0.0821056937194311,0.07724220106011126,0.47601969958072865,0.47600443885322696,0.5136653975313945,0.5123014492789477,0.2558221002267389,0.08618351594676543,0.09704300247074338,0.07174788799496606,0.10627591016866086,0.04660563225106096,0.023896982463902927,0.02783543245811404,0.0294203043646325,0.029549835586832995,0.015363788632395688,0.020826934659445004,0.013002446993675955,0.027018839037168174,0.012173418878423714,0.0044969593485249745
2019-01-01 02:00:00,0.08487356895596987,0.0793546858122336,0.5221320395910516,0.522138183402682,0.814926753556219,0.812060376936953,0.18065624326960594,0.08542911700768818,0.10120167925988266,0.08530579349045592,0.14262657901062414,0.05980312042483221,0.02366088162799193,0.025046206591712028,0.0294203043646335,0.029549835586837436,0.015363788632396685,0.02604370373744408,0.013999296434161125,0.03359765172843693,0.012734976299969065,0.004419381082548343
2019-01-01 03:00:00,0.08384341294449627,0.07856689617887236,0.5044725106684629,0.5044652204634323,0.695684220890163,0.6934168743467413,0.2036802805994542,0.08569239783513982,0.09963669579846268,0.08017921019498336,0.12892232088058794,0.05485103097307581,0.023712435954990063,0.02593058011927385,0.02942030436463372,0.029549835586843876,0.015363788632404103,0.024088448620579336,0.013626020165535518,0.031036787401738097,0.01252459929390573,0.0044381441501363875
2019-01-01 04:00:00,0.08342276437421514,0.07824573159447246,0.4974095529320214,0.4973985245486349,0.6492379264560602,0.6472026768728254,0.2146373583767074,0.0858054871168763,0.09900207304204134,0.07810793046429726,0.12337374000287882,0.05283880005569075,0.023745013419813332,0.02634103317901082,0.02942030436462917,0.029549835586851647,0.015363788632409931,0.023293212714070782,0.013474087438791763,0.030025476802830325,0.012439001040220707,0.004449072059422715
2019-01-01 05:00:00,0.0837018403443679,0.07845877142901214,0.5020847295684703,0.5020760619780117,0.6798975161470922,0.6777091496639653,0.2072603792625809,0.08573007752456596,0.09942274942563478,0.07948040150863722,0.1270512084969046,0.054172965203424794,0.023722609204450684,0.026065365132467988,0.02942030436462606,0.029549835586845874,0.015363788632407425,0.023820525362796413,0.013574840044102518,0.030693994774077138,0.01249576250763966,0.004441601010640485
2019-01-01 06:00:00,0.08472211950699915,0.0792387581235956,0.5195073713486581,0.5195111808918735,0.7969403414099645,0.7941645611323542,0.1837261588659196,0.08546667681203957,0.10097089272461113,0.08454823737633993,0.14060369053545163,0.05907360144994972,0.023666105595077702,0.025166042600530625,0.029420304364622618,0.0295498355868411,0.015363788632396307,0.025755821654481217,0.013944361639242127,0.03321437552483565,0.01270400916415211,0.004421461264395535
2019-01-01 07:00:00,0.08525862384882066,0.07964959402813632,0.5288435423263561,0.5288561450110361,0.8613128004697623,0.8582124617426818,0.17330322941313603,0.08533529422614339,0.10178917190732517,0.08723644818286752,0.14777911067644411,0.06165920585567419,0.023651014185236185,0.02475644130815091,0.029420304364640826,0.029549835586845208,0.015363788632405641,0.026775913413503022,0.014138982396736478,0.03458158637994209,0.012813726898263433,0.004415092582875771
2019-01-01 08:00:00,0.08525862384882066,0.07964959402813632,0.5288435423263561,0.5288561450110361,0.8613128004697623,0.8582124617426818,0.17330322941313603,0.08533529422614339,0.10178917190732517,0.08723644818286752,0.14777911067644411,0.06165920585567419,0.023651014185236185,0.02475644130815091,0.029420304364640826,0.029549835586845208,0.015363788632405641,0.026775913413503022,0.014138982396736478,0.03458158637994209,0.012813726898263433,0.004415092582875771
2019-01-01 09:00:00,0.08502648163703119,0.0794717711344628,0.5247909088676262,0.5247995287400613,0.833236563606949,0.8302778884239075,0.17765980076821575,0.08539157469664072,0.10143487176293298,0.08607175165950481,0.1446712410821267,0.06054001616651428,0.023656384780684964,0.02492860372018485,0.02942030436464116,0.029549835586838102,0.015363788632401646,0.026334443192038412,0.014054768077790512,0.03398680080956942,0.01276624802303019,0.0044175079958863744
