snapshot,19330 - 86018,19330 - 86019,86018 - 86170,86019 - 86171,86170 - 86139,86171 - 86160,86101 - 86102,86101 - 86128,86102 - 86104,86103 - 86105,86103 - 86156,86104 - 86106,86106 - 86107,86107 - 86108,86107 - 86110,86107 - 86159,86108 - 86158,86109 - 86149,86109 - 86150,86110 - 86111,86110 - 86113,86113 - 86115,86115 - 86161,86115 - 86168,86117 - 86119,86117 - 86143,86119 - 86144,86119 - 86152,86121 - 86123,86123 - 86101,86123 - 86106,86123 - 86145,86124 - 86142,86125 - 86142,86127 - 86137,86128 - 86129,86128 - 86131,86131 - 86132,86131 - 86134,86134 - 86135,86134 - 86138,86136 - 86157,86140 - 86154,86145 - 86101,86145 - 86166,86149 - 86146,86152 - 86121,86154 - 86117,86154 - 86155,86162 - 86163,86162 - 86164,86162 - 86165,86166 - 86126,86166 - 86175,86168 - 86140,86175 - 86167
2019-01-01 00:00:00,0.0025005943454257107,0.002635566501204778,-2.717572010750823,-2.0080587835179164,0.21994208846293617,0.5096152578867486,0.177000378472146,-0.6257503091732284,0.001723838935891564,3.8273236492790104e-06,0.0,0.4820486225778353,1.7794925733703888,0.5069156250670375,-0.25284486763437924,-0.007760515840025128,-0.029084057349798798,0.04852500936007331,-0.000999927786208086,5.081747761287447e-06,-1.250674514076385,-1.0272828302803538,-0.21155303525411506,6.088134416376567e-05,-0.3548947823723161,6.462348535570529e-27,0.0,0.29659377234352213,-0.09226441696241228,0.35361767481086037,0.14691315754655854,-0.09600980121009961,2.4219180456253042e-05,6.149531015187115e-05,0.043490463677639646,0.00011814580369121086,0.2722887282455919,3.3187092577380284e-06,-0.05544707305103458,6.16730472782212e-05,0.006431349370943362,0.005066349079316246,-0.42814828540737165,0.3869589212172624,0.019314646128259942,0.04898675479063641,-1.2635907671819373,0.03289174456806876,-0.029268218134332002,0.0,0.0,0.0,2.714085628388596e-05,0.011464010176123834,9.597608918721079e-07,-0.6743968041215495
2019-01-01 01:00:00,0.0024164513305571234,0.002547125806409589,-2.7773053388748545,-2.067637261416534,0.19173913783832397,0.47662744865009365,0.17134800186803611,-0.6250150484874903,0.0016400616271479151,3.828903652820718e-06,0.0,0.4513131416295666,1.6828137536858545,0.5080184554856277,-0.2536343413529817,-0.007758669344925528,-0.029084057352125825,0.04863963915272862,-0.000999927786199074,4.90404082362228e-06,-1.2528240217933018,-1.027876976864627,-0.21170699049877562,0.0001556028863664849,-0.38936116641114005,6.462348535570529e-27,0.0,0.2626460009605527,-0.11805663733245186,0.3230534052127396,0.1302054184744037,-0.09686728514372955,2.056403973949017e-05,5.591023451945176e-05,0.043490463677639646,0.00011783816735802533,0.2785228907606001,3.432431361805044e-06,-0.053076539401832434,6.206084472371032e-05,0.006608688968851695,0.005091271180289514,-0.4277816293243352,0.3648769314396718,0.019655804753408876,0.04909650888518513,-1.3143041988031996,0.02930239146254543,-0.029892616741243216,0.0,0.0,0.0,3.68221543144559e-05,0.01145100183634487,4.2390004103276535e-06,-0.6744175039116839
2019-01-01 02:00:00,0.002658010031125535,0.002800549836347699,-2.607717786834794,-1.8984827715627457,0.2714619914853511,0.5700141930084275,0.18640585271617194,-0.6199539749442593,0.0017413474857992384,3.825955134322868e-06,0.0,0.4834629807831341,1.76189489232849,0.5105456933995498,-0.2533714856042198,-0.00775933038176424,-0.029084057351186132,0.04840266362106327,-0.0009999277861275063,4.295680848004357e-06,-1.251895193965786,-1.0278413229679448,-0.21173438375662856,5.865270691979285e-05,-0.36640660065567765,0.0,0.0,0.28556010526291686,-0.09968780195718896,0.3756327351779696,0.13885161236068466,-0.0959622226195549,2.0025469940287977e-05,5.313835260123412e-05,0.04349046367763787,0.00011785521780682817,0.2950515993687395,3.6675464499258403e-06,-0.04639228571376952,6.23067122804688e-05,0.007112215904837793,0.005094636850864864,-0.4280639474148137,0.40364367194806317,0.020835912480113974,0.04886960546887842,-1.2789747188553715,0.03162192127798846,-0.02946001153402733,0.0,0.0,0.0,7.058984973298821e-05,0.011454982366220227,1.4179616720788601e-06,-0.67441115514066
2019-01-01 03:00:00,0.0033925981987970033,0.003570534922594959,-2.0930871131853124,-1.3850861297381591,0.5125513969001112,0.8522543710103481,0.2903857611865919,-0.6132719670026545,0.0018651689637927404,3.823406447198991e-06,0.0,0.5237957329968914,1.978817371014296,0.5123658236716633,-0.24532579229100338,-0.007763425923877354,-0.02908405735031039,0.047999348700184186,-0.0009999277861401333,3.786290824814298e-06,-1.243693424341262,-1.025148434019846,-0.20978155296109025,0.0007608116929668229,-0.28365449614648597,0.0,0.0,0.36769985316041165,-0.03875413231070812,0.5021446565896284,0.19664515472895516,-0.09308529297871893,2.8444271572114488e-05,6.213584373115921e-05,0.04349046367763876,0.0001184656562374653,0.30520952895041153,3.736383500541063e-06,-0.0418036501705199,6.15604531168934e-05,0.007462446259970168,0.0050247273819884475,-0.42764371487939634,0.4958878511728875,0.02197128255193717,0.048483365705470405,-1.1599552092531553,0.04011040172439451,-0.02803107617027578,0.0,0.0,0.0,0.00010541212919813747,0.011537832596977798,1.2741715108455232e-05,-0.6742798122443634
2019-01-01 04:00:00,0.004000680716989891,0.004207032471429173,-1.669232741248349,-0.9621757164031681,0.7101753131526891,1.0835558140913886,0.3946913384309563,-0.6092579180460227,0.0019350969376823457,3.8223776936277195e-06,0.0,0.5470089688338575,2.148377380097976,0.514203901053822,-0.2319748249262421,-0.007766079718742047,-0.02908405735155739,0.04836038189429637,-0.000999927786005276,3.5748962779191817e-06,-1.2323129729309334,-1.020531702940757,-0.20600541524134464,0.0024632432479340105,-0.21207297163777739,0.0,0.0,0.43884519836467994,0.011710597792428779,0.5994565916697834,0.2484857313229023,-0.09067735784123077,3.839168665420445e-05,7.349470933970537e-05,0.04349046367763876,0.00011862897842479514,0.3073574152337901,3.694509651208655e-06,-0.04045770754881595,6.077639571011595e-05,0.007566086092063884,0.004959690667168282,-0.4257922856509029,0.5665776177119408,0.022663502840472693,0.04882911778500265,-1.060819175967687,0.04745122712008154,-0.026871527057245714,0.0,0.0,0.0,0.0001222468962970985,0.011688930428073063,4.4683500796560693e-05,-0.6740406783477622
2019-01-01 05:00:00,0.004085685093205171,0.0042959329370901855,-1.6102114019787344,-0.9032814713995805,0.7376219082542281,1.115685064716958,0.44546378986760615,-0.6091970489695835,0.0017976577640244074,3.825565246965927e-06,0.0,0.498088111388336,2.067900248012439,0.5156099965837289,-0.23909759005691944,-0.007765622447421905,-0.029084057350783787,0.049116233777631635,-0.0009999277861743924,3.59626483151243e-06,-1.2384432445981017,-1.023212437139973,-0.20782543046489188,0.0016992716280778142,-0.23851734615930553,0.0,3.2311742677852644e-27,0.41257391322034387,-0.008176702549376635,0.5774019669087114,0.25287439101764075,-0.09117184001839096,3.845706224980816e-05,7.36729017365434e-05,0.04349046367763876,0.00011796115600157253,0.30578984045518176,3.6314277061522127e-06,-0.040945495870629234,6.062181645360987e-05,0.007528813546893609,0.004948630547406463,-0.426651282595216,0.5504108656540376,0.02261795748503842,0.04955275966770323,-1.099879751887805,0.04473381160731371,-0.02735286989295993,0.0,0.0,0.0,0.00012012235413581818,0.011689709494245193,3.0224890990138142e-05,-0.6740394457413108
2019-01-01 06:00:00,0.003747535581215544,0.003942165177081236,-1.8453787731412135,-1.1379363487731293,0.6281518161080228,0.9875509964595199,0.4625873713731843,-0.6136492740592354,0.0014839857438300186,3.833291852390481e-06,0.0,0.390665066524468,1.7969675247054528,0.5146710489770285,-0.2527056272266407,-0.007763092907618452,-0.029084057351735915,0.0496970903587286,-0.0009999277861162878,3.989521584507605e-06,-1.2513282616842152,-1.0280670520606445,-0.21146845261304348,0.00010570209832411193,-0.33252479608580465,0.0,4.0389678347315804e-28,0.31919125831248074,-0.07795811904149819,0.45864504915325277,0.2256574805837408,-0.09383557196586523,3.25441648503233e-05,6.81575095549114e-05,0.04349046367763787,0.0001167229197830133,0.29469254964904135,3.4396707685180328e-06,-0.04546260740755681,6.07156241304585e-05,0.007184360943822465,0.00496655497452636,-0.42820296083278003,0.463627163382081,0.02159312884442305,0.050108665897671045,-1.2365395714597325,0.035091380414302265,-0.029018158903152624,0.0,0.0,0.0,8.627281496564887e-05,0.011582688879085368,1.2969078989899518e-06,-0.6742088001110558
2019-01-01 07:00:00,0.0034236935166891413,0.0036032107000298907,-2.070899089539676,-1.362949378435884,0.5229929157038598,0.8644371801829625,0.43679762691421953,-0.6180290237299935,0.0013511680478579535,3.836991082676939e-06,0.0,0.3472888033232806,1.6637628711058952,0.5137045837189227,-0.2535359371918592,-0.00776236796286367,-0.02908405735012387,0.05027436755319492,-0.000999927786055196,4.399711460628675e-06,-1.2535017896510157,-1.028355884807143,-0.2117197105046662,5.966670180529432e-05,-0.3769504343173349,0.0,1.6155871338926322e-27,0.27509310194278136,-0.11163674023101411,0.3874294555110458,0.20520629762263454,-0.0953298372676823,2.9567966565613446e-05,6.606512639883988e-05,0.043490463677640534,0.00011468812015250074,0.28357750054098574,3.2213890353571806e-06,-0.04990298024048778,6.077568167062175e-05,0.006847896721725366,0.004981845993515144,-0.42797616854216936,0.4114873343632315,0.020678134159658537,0.05066097883118914,-1.302150365229144,0.03053975274687204,-0.029822323682097363,0.0,0.0,0.0,5.8128605100071784e-05,0.01152964041655577,1.9434960136996415e-06,-0.6742927846628868
2019-01-01 08:00:00,0.003311490086565172,0.003485845563293566,-2.1486271586949126,-1.4404990705415397,0.4867837466702092,0.8219987103516875,0.4288252156163943,-0.6220163022654428,0.0013435303745605864,3.837762813020775e-06,0.0,0.347032794315254,1.6772563219018366,0.5164004059208178,-0.2536216618070965,-0.007764763445230138,-0.02908405735279196,0.05285138526194011,-0.0009999277861029998,4.863795321441433e-06,-1.2532230916996088,-1.0282957364973195,-0.21173499724524247,2.6881129853995045e-05,-0.37081752910946975,0.0,0.0,0.28095119144387937,-0.10775105722167311,0.37430427961878276,0.21139043131560253,-0.09535816834905653,3.236034829989798e-05,7.14426790606737e-05,0.043490463677639646,0.0001098437677429509,0.26900230255381885,2.8199622953417602e-06,-0.05526327880035664,6.040405657903314e-05,0.006444205575133033,0.004965523606251909,-0.428064216691355,0.40154543777455753,0.019802146073313404,0.05312457213657673,-1.2940487286739817,0.031220206167535736,-0.029732240634352536,0.0,0.0,0.0,3.2354633495108864e-05,0.011544159881212629,1.0517522020386805e-06,-0.674269793760568
2019-01-01 09:00:00,0.003359644934132433,0.003536633759164687,-2.113484281813893,-1.4054386513950057,0.5034523105605082,0.8413858696785752,0.4319729084682904,-0.6277104110275689,0.001477911148803912,4.185356028931908e-06,0.0,0.3991706678635607,1.872368589580324,0.5154582373553342,-0.24899713684431368,-0.007777894743904279,-0.02908405735139219,0.05455415598683544,-0.0009999277861496795,5.751376920853923e-06,-1.2460571279703228,-1.0255094190404141,-0.20987483427535158,0.0006617067161177603,-0.29184417779410055,0.0,4.0389678347315804e-28,0.35864612361964454,-0.05097331197892352,0.4198690922949959,0.2513773401669921,-0.09361868473897506,4.528078396948132e-05,9.122973097053233e-05,0.04349046367763876,0.00010292986634788392,0.24193728451943075,2.1564436164245304e-06,-0.06520792155139032,5.930716170254868e-05,0.005701262739617796,0.004904040482387462,-0.4277714607378809,0.43387195380948995,0.01840452302163892,0.05475068332507327,-1.181396628961604,0.03948150689346441,-0.028349883869552173,0.0,0.0,0.0,4.052522405185999e-06,0.01164735162687125,1.0446604905789414e-05,-0.6741154722280095
