snapshot,THSO3-,THU-3L5,THU-6L5,SCORRA3A,STROMN3A,STROMN1A,STROMN3B,STROMN1B,STROMN3C,BURGAR3A,BURGAR3B,BURGAR1A,ROUSAY3A,ROUSAY3B,ROUSAY1A,WESTRY3A,WESTRY1A,EDAY3A,EDAY1A,SANDAY3A,SANDAY1A,STRONS3A,STRONS1A,SHAPIN3A,SHAPIN1A,KIRKWA3A,KIRKWA1A,KIRKWA1B,STMARY3A,STMARY1A,NTHHOY3A,NTHHOY3B,NTHHOY1A,LYNESS3A,LYNESS3B,LYNESS1A,FLOTTA3A,FLOTTA3B,FLOTTA1A,NORTHF1A,FLTOCC3B,SCORRA3B,EDAY3B,FLTOCC1C,KIRKWA1C,SANDAY3B,STRONS3B,KIRKWA3B,THORNF1B,THORNFG1,THORNFG2,THORNF1A,SIGURD1A,SIGURDG1,STRONS3C,SPURNE3-,SPURNE3A,METC1,FLOTTA1B,NWP3-,HAMMARS3A,SCORRA3C,NEWBIG3A,NEWBIG1A,NEWBIG1B,NEWBIG1C,NEWBIG1D,BARNS3WA,BARNS3WB,EDAY3C,STHHOY3A,STHHOY3B,NEWHOL3A
2019-01-01 00:00:00,1.0,1.000024918053695,1.0000182564955624,0.9976141380090028,0.9973349992459289,1.0,0.9973271833327669,1.0,0.9931415385408658,0.9999792270756154,1.0,1.0,1.0004202679519472,1.000417399301074,1.004261230364618,1.002616534383035,1.0,1.0051645562238314,1.0138713162281727,1.0003723623881389,1.0060536063681653,0.9984241879651463,1.0083745637055346,0.9930753443000709,1.0,0.9868945808507529,0.9999720963986233,1.0,0.989854723732441,1.0,0.9978602973852513,0.9978478863771492,1.0,0.996129404908421,0.9961277257035296,1.0,0.9969657068509737,0.9969588918217166,1.0003913477066675,1.0,0.9970540790664558,0.9947250584667436,1.0030303302448191,1.0,0.9999820098382067,1.0003723623881389,0.9984241879651463,0.987488293369822,1.0,1.0,1.0,1.0001172588866782,0.9999933337101486,0.98647704086967,1.0,1.0002785814571378,1.0,1.0,1.0,1.0,1.0,0.9923285118435295,1.0092044681843397,1.0,1.0,1.0,1.0,0.9907685479016035,1.0,1.0030324071475216,1.0013930102399407,0.9995668058150838,0.9946612153614883
2019-01-01 01:00:00,1.0,1.000024618215139,1.0000179534097404,0.9972312040891882,0.9941925769754119,1.0,0.9941848788605359,1.0,0.9931840672868774,0.9999801394519713,1.0,1.0,1.0007927546008104,1.000790266609173,1.0059030908659392,1.0029547351717714,1.0,1.0053416425163728,1.0143057510331364,1.0004030778255875,1.0070965303150854,0.9984316209739814,1.008811050016779,0.993511676782724,1.0,0.987505193178147,0.9999797607775709,1.0,0.9904231698837853,1.0,0.9978394470787949,0.997827598583714,1.0,0.9969967193706292,0.9969947217238722,1.0,0.9984200770459998,0.9984126178342384,1.0004588430548897,1.0,0.9985591428143367,0.994458803914166,1.0031426219493713,1.0,0.9999863651690578,1.0004030778255875,0.9984316209739814,0.988056325304296,1.0,1.0,1.0,1.0001172588866778,0.9999933337101485,0.9864770408696699,1.0,1.000292148884534,1.0,1.0,1.0,1.0,1.0,0.9920450686089379,1.0093758311599605,1.0,1.0,1.0,1.0,0.9912631837926171,1.0,1.0031460997591732,1.0012074631971262,0.9993793687126943,0.9949655008808218
2019-01-01 02:00:00,1.0,1.0000250610531691,1.0000184010437276,0.9977967768004312,0.9992207266792928,1.0,0.9992128708224434,1.0,0.9930700538286865,0.9999785351166756,1.0,1.0,1.0001947200195949,1.0001916173770262,1.0032662058135084,1.0024119570073313,1.0,1.0050572072621031,1.013609429453475,1.000353891555485,1.00542301898091,0.9984186310755305,1.0081106588452395,0.9927845177572092,1.0,0.986481763231588,0.9999671967818343,1.0,0.9894864316127141,1.0,0.9978235120732606,0.9978108003647544,1.0,0.9955629681313408,0.9955614903143053,1.0,0.9960520866926709,0.9960456798638004,1.00034908715495,1.0,0.9961105065003013,0.9948520474898528,1.0029622999212402,1.0,0.9999792461389595,1.000353891555485,0.9984186310755305,0.9871027650840242,1.0,1.0,1.0,1.0001172588866778,0.9999933337101485,0.9864770408696698,1.0,1.0002703922743637,1.0,1.0,1.0,1.0,1.0,0.9924636989584763,1.0091005887007312,1.0,1.0,1.0,1.0,0.9904440420708768,1.0,1.0029635096946767,1.0014815041096474,0.9996562025144549,0.994461551644215
2019-01-01 03:00:00,1.0,1.0000249283877185,1.000018266941504,0.997627336411828,0.9974370965305176,1.0,0.9974292720928134,1.0,0.9931422123437168,0.9999791933181028,1.0,1.0,1.0004050655362895,1.0004021814164266,1.0041949086582425,1.0026028706654067,1.0,1.0051575330526887,1.0138539595595295,1.0003710942717388,1.0060116418200498,0.998424376644807,1.0083575594686,0.9930643170314974,1.0,0.9868808457149941,0.9999718537169462,1.0,0.9898372051934637,1.0,0.9978589258088522,0.9978464939487874,1.0,0.9960926771103856,0.9960910111009278,1.0,0.9969057265462575,0.9968989382403095,1.0003885702324342,1.0,0.9969920919528422,0.9947342353361246,1.003025872296487,1.0,0.9999818675716095,1.0003710942717388,0.998424376644807,0.9874750881689497,1.0,1.0,1.0,1.0001172588866778,0.9999933337101486,0.98647704086967,1.0,1.0002780318889068,1.0,1.0,1.0,1.0,1.0,0.9923382811480784,1.0091976719988154,1.0,1.0,1.0,1.0,0.9907542662765038,1.0,1.003027902540593,1.001399405298801,0.9995732660872578,0.9946524287069364
2019-01-01 04:00:00,1.0,1.0000248645134218,1.0000182023754454,0.997545757975743,0.9967574397399878,1.0,0.9967496532593745,1.0,0.993148494826267,0.9999794148024097,1.0,1.0,1.0004955707472312,1.0004927791593063,1.004591722172511,1.0026845902006059,1.0,1.0051999257495543,1.0139582495275876,1.0003785933380194,1.0062630773904269,0.9984247100477286,1.0084610299406112,0.9931509948880781,1.0,0.9869972437010922,0.9999735146840176,1.0,0.9899592539180622,1.0,0.9978646602631029,0.9978523553779353,1.0,0.9963107206000124,0.9963089759394276,1.0,0.9972635416653564,0.9972565941129656,1.0004051461934726,1.0,0.9973619714543134,0.9946775137257997,1.0030527649750756,1.0,0.9999828236098505,1.0003785933380194,0.9984247100477286,0.987584835760664,1.0,1.0,1.0,1.000117258886678,0.9999933337101488,0.9864770408696704,1.0,1.0002813133168136,1.0,1.0,1.0,1.0,1.0,0.9922778977370421,1.0092386945848468,1.0,1.0,1.0,1.0,0.9908577439834428,1.0,1.003055103866462,1.0013598777616457,0.9995333355451783,0.9947160912376406
2019-01-01 05:00:00,1.0,1.0000249075649394,1.0000182458932132,0.9976007420179704,0.9972206860444504,1.0,0.997212876096134,1.0,0.9931429708260675,0.9999792650050373,1.0,1.0,1.000435352850431,1.000432499649517,1.0043274057210296,1.0026301595213059,1.0,1.0051716315368144,1.013888707034255,1.0003736108506522,1.0060955348580267,0.9984242716983582,1.0083918419063231,0.9930902509160605,1.0,0.9869147343400773,0.9999723778899903,1.0,0.989875462761002,1.0,0.9978614672129257,0.9978490772079205,1.0,0.9961659555053395,0.9961642631455483,1.0,0.9970255322411499,0.9970186905707273,1.0003941185190464,1.0,0.9971159132488309,0.9947157442139369,1.0030348181531243,1.0,0.9999821715097099,1.0003736108506522,0.9984242716983582,0.9875072764799686,1.0,1.0,1.0,1.0001172588866778,0.9999933337101485,0.9864770408696703,1.0,1.0002791283982708,1.0,1.0,1.0,1.0,1.0,0.9923185962865024,1.0092113148266004,1.0,1.0,1.0,1.0,0.9907862068197973,1.0,1.0030369470747025,1.0013865194360634,0.9995602488263455,0.9946720797893089
2019-01-01 06:00:00,1.0,1.0000250435458211,1.0000183833467746,0.9977744161084172,0.9989873876857597,1.0,0.9989795398316691,1.0,0.9930781008338936,0.9999786263992059,1.0,1.0,1.0002250456247255,1.0002219744255685,1.0033994750846016,1.0024393538956962,1.0,1.0050714840377837,1.0136443434627673,1.0003563852981152,1.0055073374780288,0.9984190077014045,1.0081455147432374,0.9928185806544237,1.0,0.9865289466738705,0.999967803315023,1.0,0.9895317401855972,1.0,0.9978305103129494,0.9978178371374364,1.0,0.9956404720759664,0.9956389669645346,1.0,0.996175671071622,0.9961692088817528,1.0003547979382739,1.0,0.9962380650044913,0.9948365000679062,1.002971350644446,1.0,0.9999795912578058,1.0003563852981152,0.9984190077014045,0.9871471979635734,1.0,1.0,1.0,1.000117258886678,0.9999933337101485,0.9864770408696699,1.0,1.0002714899374945,1.0,1.0,1.0,1.0,1.0,0.9924471478333968,1.009114404055185,1.0,1.0,1.0,1.0,0.9904832959027147,1.0,1.002972669048497,1.0014706697671625,0.9996452575897911,0.994485705528449
2019-01-01 07:00:00,1.0,1.0000251023255733,1.000018442763114,0.9978494909973408,0.9998354578498231,1.0,0.9998275909117109,1.0,0.9930408429926724,0.999978284779034,1.0,1.0,1.0001190668711395,1.0001158852914767,1.0029327368705943,1.002343448609886,1.0,1.0050213022520915,1.0135219710512733,1.0003477058227992,1.0052119909533164,0.9984169045150502,1.0080226683760958,0.9926870940234535,1.0,0.9863436281964009,0.9999655570837979,1.0,0.9893627496187184,1.0,0.9978027274383715,0.9977899218532289,1.0,0.9953662404317174,0.9953648315248436,1.0,0.9957405091366367,0.9957342420946214,1.000334697683606,1.0,0.9957890253929116,0.9948886997477927,1.0029395489492918,1.0,0.9999783216587247,1.0003477058227992,0.9984169045150502,0.9869732909275815,1.0,1.0,1.0,1.0001172588866776,0.9999933337101486,0.9864770408696701,1.0,1.0002676516038866,1.0,1.0,1.0,1.0,1.0,0.9925027173963561,1.0090658441318072,1.0,1.0,1.0,1.0,0.9903350467972348,1.0,1.0029404713240224,1.0015070454441082,0.9996820045933785,0.9943944817988549
2019-01-01 08:00:00,1.0,1.000025102284354,1.0000184427214482,0.9978494383507756,0.9998383572162259,1.0,0.9998304909446577,1.0,0.9930402360654006,0.9999782834752785,1.0,1.0,1.0001190927694195,1.0001159111898483,1.0029327634071594,1.0023434559502022,1.0,1.0050212883274336,1.013521961546319,1.0003477105732068,1.005211995809727,0.998416837564881,1.0080226002889092,0.9926861076673874,1.0,0.9863419987073486,0.9999655472131231,1.0,0.9893619262133578,1.0,0.9978026788787331,0.9977898733304061,1.0,0.9953662098794192,0.9953648009804463,1.0,0.9957404856984752,0.9957342186691175,1.000334696675347,1.0,0.9957890025239842,0.9948886631425596,1.0029395409205237,1.0,0.9999783167233649,1.0003477105732068,0.998416837564881,0.9869718176988443,1.0,1.0,1.0,1.000117258886678,0.9999933337101486,0.98647704086967,1.0,1.0002676521907994,1.0,1.0,1.0,1.0,1.0,0.9925026784279786,1.009065830657188,1.0,1.0,1.0,1.0,0.9903341840799659,1.0,1.0029404619686932,1.001507019935598,0.9996819788244219,0.994393950915583
2019-01-01 09:00:00,1.0,1.000025078019324,1.000018418193627,0.9978184463574187,0.999460643721627,1.0,0.99945278175041,1.0,0.9930600832075444,0.9999784391290066,1.0,1.0,1.0001644260289206,1.0001612918678462,1.003132863693752,1.0023845551327015,1.0,1.0050428849342565,1.0135744779504519,1.0003514078998947,1.0053386464537841,0.998418089370981,1.0080756230912036,0.9927478718130359,1.0,0.9864303321769976,0.9999665642572285,1.0,0.9894389285541692,1.0,0.9978157967051492,0.9978030469987877,1.0,0.9954848079029215,0.9954833575286794,1.0,0.9959279212847036,0.9959215701240856,1.0003433513877504,1.0,0.9959823738223773,0.9948671143644877,1.0029532226364595,1.0,0.9999788880242763,1.0003514078998947,0.998418089370981,0.9870544591588667,1.0,1.0,1.0,1.000117258886678,0.9999933337101488,0.9864770408696701,1.0,1.0002692952867445,1.0,1.0,1.0,1.0,1.0,0.9924797385134809,1.0090867292667178,1.0,1.0,1.0,1.0,0.9904024996558877,1.0,1.0029543204493465,1.0014920035601966,0.9996668091419346,0.9944359890644112
