snapshot,demand_mw,wind_mw,wave_mw,tidal_mw,gas_mw,mainland_import_mw,mainland_export_mw,battery_main_net_mw,battery_secondary_net_mw,balance_residual_mw,cost_energy_wind,cost_energy_wave,cost_energy_tidal,cost_energy_gas,cost_energy_mainland,cost_energy_battery_main,cost_energy_battery_secondary,hourly_dispatched_energy_cost,weighted_hourly_energy_cost,scenario_id
2019-01-01 00:00:00,18.278821499999996,17.077176299999998,-0.0,1.2016451999999995,-0.0,-0.0,0.0,0.0,0.0,0.0,512.3152889999999,-0.0,36.037339547999984,-0.0,-0.0,-0.0,-0.0,548.3526285479999,548.3526285479999,R04
2019-01-01 01:00:00,17.950477600000003,17.898229660000002,-0.0,0.052247939999999764,-0.0,-0.0,0.0,0.0,0.0,0.0,536.9468898000001,-0.0,1.5669157205999928,-0.0,-0.0,-0.0,-0.0,538.5138055206002,538.5138055206002,R04
2019-01-01 02:00:00,16.797482450000004,16.098952250000004,-0.0,0.6985301999999998,-0.0,-0.0,0.0,0.0,0.0,0.0,482.96856750000006,-0.0,20.94892069799999,-0.0,-0.0,-0.0,-0.0,503.91748819800006,503.91748819800006,R04
2019-01-01 03:00:00,15.771881700000009,11.107838700000002,1.636766999999999,3.0272759999999996,-0.0,-0.0,0.0,0.0,0.0,-7.105427357601002e-15,333.23516100000006,48.939333299999966,90.78800723999998,-0.0,-0.0,-0.0,-0.0,472.96250154000006,472.96250154000006,R04
2019-01-01 04:00:00,15.327517900000002,7.3263179000000065,3.122239999999996,4.87896,-0.0,-0.0,0.0,0.0,0.0,1.7763568394002505e-15,219.7895370000002,93.35497599999988,146.3200104,-0.0,-0.0,-0.0,-0.0,459.4645234000001,459.4645234000001,R04
2019-01-01 05:00:00,15.371499299999998,7.174564300000002,4.0938229999999995,4.103111999999999,-0.0,-0.0,0.0,0.0,0.0,1.7763568394002505e-15,215.23692900000006,122.40530769999998,123.05232887999998,-0.0,-0.0,-0.0,-0.0,460.69456558,460.69456558,R04
2019-01-01 06:00:00,16.187050950000003,9.778382949999996,5.0,1.4086679999999998,-0.0,-0.0,0.0,0.0,0.0,-7.105427357601002e-15,293.35148849999985,149.5,42.24595331999999,-0.0,-0.0,-0.0,-0.0,485.09744181999986,485.09744181999986,R04
2019-01-01 07:00:00,16.998431950000004,11.917165213999994,5.0,0.08126673599999952,-0.0,-0.0,0.0,0.0,0.0,-1.0658141036401503e-14,357.5149564199998,149.5,2.4371894126399853,-0.0,-0.0,-0.0,-0.0,509.4521458326398,509.4521458326398,R04
2019-01-01 08:00:00,17.877680799999993,12.537050119999996,5.0,0.3406306799999995,-0.0,-0.0,0.0,0.0,0.0,3.552713678800501e-15,376.1115035999999,149.5,10.215514093199985,-0.0,-0.0,-0.0,-0.0,535.8270176931999,535.8270176931999,R04
2019-01-01 09:00:00,19.456840549999992,11.529482549999996,5.0,2.927358,-0.0,-0.0,0.0,0.0,0.0,3.552713678800501e-15,345.8844764999999,149.5,87.79146641999999,-0.0,-0.0,-0.0,-0.0,583.1759429199999,583.1759429199999,R04
2019-01-01 10:00:00,20.963961799999996,10.036801799999987,5.0,5.927160000000001,-0.0,-0.0,0.0,0.0,0.0,-1.0658141036401503e-14,301.1040539999996,149.5,177.7555284,-0.0,-0.0,-0.0,-0.0,628.3595823999997,628.3595823999997,R04
2019-01-01 11:00:00,21.950510100000006,11.622690099999993,5.0,5.327820000000001,-0.0,-0.0,0.0,0.0,0.0,-1.0658141036401503e-14,348.68070299999977,149.5,159.78132180000003,-0.0,-0.0,-0.0,-0.0,657.9620247999998,657.9620247999998,R04
2019-01-01 12:00:00,22.7497583,15.2502483,5.0,2.4995099999999995,-0.0,-0.0,0.0,0.0,0.0,3.552713678800501e-15,457.507449,149.5,74.96030489999998,-0.0,-0.0,-0.0,-0.0,681.9677538999999,681.9677538999999,R04
2019-01-01 13:00:00,23.090235000000007,21.759173232592847,5.0,0.3255663599999993,-0.0,-0.0,0.0,-3.9945045925928415,0.0,0.0,652.7751969777854,149.5,9.763735136399978,-0.0,-0.0,-0.0,-0.0,812.0389321141854,812.0389321141854,R04
2019-01-01 14:00:00,23.434503200000005,20.809686356546383,5.0,0.21795971999999977,-0.0,-0.0,0.0,-2.5931428765463784,0.0,0.0,624.2905906963916,149.5,6.536612002799993,-0.0,-0.0,-0.0,-0.0,780.3272026991916,780.3272026991916,R04
2019-01-01 15:00:00,24.352425350000004,25.204074724999987,5.0,2.0336819999999998,-0.0,-0.0,0.0,-7.87540130506993,-0.00993006993006993,-1.4210854715202004e-14,756.12224175,149.5,60.99012317999999,-0.0,-0.0,-0.0,-0.0,966.6123649299999,966.6123649299999,R04
2019-01-01 16:00:00,26.776331300000002,31.304883299999982,5.0,4.226448,-0.0,-0.0,0.0,-13.754999999999999,0.0,-1.7763568394002505e-14,939.1464989999993,149.5,126.75117552,-0.0,-0.0,-0.0,-0.0,1215.3976745199993,1215.3976745199993,R04
2019-01-01 17:00:00,28.042692300000002,32.404172299999985,5.0,4.403519999999999,-0.0,-0.0,0.0,-13.754999999999999,-0.01,-1.7763568394002505e-14,972.1251689999997,149.5,132.06156479999999,-0.0,-0.0,-0.0,-0.0,1253.6867337999997,1253.6867337999997,R04
2019-01-01 18:00:00,27.406857750000004,33.99357574999999,4.999999999999999,2.1782820000000003,-0.0,-0.0,0.0,-13.754999999999999,-0.01,-1.0658141036401503e-14,1019.8072725,149.49999999999997,65.32667718,-0.0,-0.0,-0.0,-0.0,1234.63394968,1234.63394968,R04
2019-01-01 19:00:00,26.2690286,33.443758081000006,5.0,0.2605670999999993,-0.0,-0.0,0.0,-12.43529658100001,0.0,-7.105427357601002e-15,1003.3127424300001,149.5,7.814407328999978,-0.0,-0.0,-0.0,-0.0,1160.627149759,1160.627149759,R04
2019-01-01 20:00:00,24.83849565,32.18478476400001,5.0,0.14094534539999953,-0.0,-0.0,0.0,-12.487234459400005,0.0,0.0,965.54354292,149.5,4.2269509085459855,-0.0,-0.0,-0.0,-0.0,1119.2704938285463,1119.2704938285463,R04
2019-01-01 21:00:00,23.12473765000001,25.547180488,5.0,2.354394,-0.0,-0.0,0.0,-9.766836838000001,-0.01,-1.0658141036401503e-14,766.4154146400001,149.5,70.60827606,-0.0,-0.0,-0.0,-0.0,986.5236907000001,986.5236907000001,R04
2019-01-01 22:00:00,21.103109849999996,23.356512635440925,4.999617214559079,6.511979999999999,-0.0,-0.0,0.0,-13.754999999999999,-0.01,7.105427357601002e-15,700.6953790632277,149.48855471531644,195.29428019999997,-0.0,-0.0,-0.0,-0.0,1045.478213978544,1045.478213978544,R04
2019-01-01 23:00:00,19.170961449999997,19.130020651,4.990869717661594,7.17012,-0.0,-0.0,0.0,-12.1100489186616,-0.01,-3.552713678800501e-15,573.9006195299997,149.22700455808166,215.0318988,-0.0,-0.0,-0.0,-0.0,938.1595228880814,938.1595228880814,R04
2019-01-02 00:00:00,18.965462149999997,13.526496084,4.98387278012991,4.972968000000001,-0.0,-0.0,0.0,-4.507874714129905,-0.01,1.0658141036401503e-14,405.79488251999993,149.0177961258843,149.13931032000002,-0.0,-0.0,-0.0,-0.0,703.9519889658843,703.9519889658843,R04
2019-01-02 01:00:00,18.824418350000002,11.548319128999996,4.978328730428994,1.4304359999999996,0.8673344905710114,-0.0,0.0,0.0,0.0,0.0,346.44957386999994,148.8520290398269,42.89877563999998,130.1001735856517,-0.0,-0.0,-0.0,668.3005521354785,668.3005521354785,R04
2019-01-02 02:00:00,18.268205299999998,9.245286827999998,4.89283744213512,0.05878985999999976,4.07129116986488,-0.0,0.0,0.0,0.0,0.0,277.35860484,146.2958395198401,1.7631079013999928,610.693675479732,-0.0,-0.0,-0.0,1036.111227740972,1036.111227740972,R04
2019-01-02 03:00:00,17.813604450000007,8.435601642000004,4.732562629227096,0.8818758,3.7635643787729083,-0.0,0.0,0.0,0.0,0.0,253.06804925999995,141.50362261389017,26.447455241999997,564.5346568159363,-0.0,-0.0,-0.0,985.5537839318264,985.5537839318264,R04
2019-01-02 04:00:00,17.56564035000001,7.202986357,4.597271319956322,3.738378,2.0270046730436793,-0.0,0.0,0.0,0.0,-7.105427357601002e-15,216.0895907099999,137.45841246669403,112.11395621999999,304.0507009565519,-0.0,-0.0,-0.0,769.7126603532458,769.7126603532458,R04
