DateTime,demand_mw,wind_mw,tidal_pu,wave_pu,wave_mw_EB1,tidal_mw_EB1,total_renewable_mw_EB1,balance_mw_EB1,shortfall_mw_EB1,excess_mw_EB1,wave_mw_EB2,tidal_mw_EB2,total_renewable_mw_EB2,balance_mw_EB2,shortfall_mw_EB2,excess_mw_EB2,wave_mw_EB3,tidal_mw_EB3,total_renewable_mw_EB3,balance_mw_EB3,shortfall_mw_EB3,excess_mw_EB3,wave_mw_EB4,tidal_mw_EB4,total_renewable_mw_EB4,balance_mw_EB4,shortfall_mw_EB4,excess_mw_EB4,wave_mw_EB5,tidal_mw_EB5,total_renewable_mw_EB5,balance_mw_EB5,shortfall_mw_EB5,excess_mw_EB5
2019-01-01 00:00:00,18.278821499999996,45.165293891999994,0.1668951666666666,0.0,0.0,1.2016451999999995,46.366939091999996,28.088117592,0.0,28.088117592,0.0,1.2016451999999995,46.366939091999996,28.088117592,0.0,28.088117592,0.0,1.2016451999999995,46.366939091999996,28.088117592,0.0,28.088117592,0.0,1.2016451999999995,46.366939091999996,28.088117592,0.0,28.088117592,0.0,1.2016451999999995,46.366939091999996,28.088117592,0.0,28.088117592
2019-01-01 01:00:00,17.950477600000003,45.165702870000004,0.0072566583333333,0.0,0.0,0.052247939999999764,45.217950810000005,27.267473210000002,0.0,27.267473210000002,0.0,0.052247939999999764,45.217950810000005,27.267473210000002,0.0,27.267473210000002,0.0,0.052247939999999764,45.217950810000005,27.267473210000002,0.0,27.267473210000002,0.0,0.052247939999999764,45.217950810000005,27.267473210000002,0.0,27.267473210000002,0.0,0.052247939999999764,45.217950810000005,27.267473210000002,0.0,27.267473210000002
2019-01-01 02:00:00,16.797482450000004,45.154613962,0.0970180833333333,0.0,0.0,0.6985301999999998,45.853144162,29.055661711999996,0.0,29.055661711999996,0.0,0.6985301999999998,45.853144162,29.055661711999996,0.0,29.055661711999996,0.0,0.6985301999999998,45.853144162,29.055661711999996,0.0,29.055661711999996,0.0,0.6985301999999998,45.853144162,29.055661711999996,0.0,29.055661711999996,0.0,0.6985301999999998,45.853144162,29.055661711999996,0.0,29.055661711999996
2019-01-01 03:00:00,15.771881700000009,45.143356678,0.4204549999999999,0.3273533999999998,0.0,3.0272759999999996,48.170632678000004,32.398750977999995,0.0,32.398750977999995,1.636766999999999,3.0272759999999996,49.807399678,34.035517977999994,0.0,34.035517977999994,2.2914737999999986,3.0272759999999996,50.462106478,34.690224777999994,0.0,34.690224777999994,4.910300999999997,3.0272759999999996,53.080933678,37.30905197799999,0.0,37.30905197799999,9.820601999999994,3.0272759999999996,57.991234678,42.21935297799999,0.0,42.21935297799999
2019-01-01 04:00:00,15.327517900000002,45.156371357999994,0.6776333333333333,0.6244479999999992,0.0,4.87896,50.03533135799999,34.70781345799999,0.0,34.70781345799999,3.122239999999996,4.87896,53.15757135799999,37.83005345799999,0.0,37.83005345799999,4.371135999999995,4.87896,54.406467357999986,39.07894945799998,0.0,39.07894945799998,9.366719999999988,4.87896,59.40205135799998,44.074533457999976,0.0,44.074533457999976,18.733439999999977,4.87896,68.76877135799997,53.44125345799996,0.0,53.44125345799996
2019-01-01 05:00:00,15.371499299999998,45.17760072099999,0.5698766666666666,0.8187645999999998,0.0,4.103111999999999,49.280712720999986,33.90921342099999,0.0,33.90921342099999,4.0938229999999995,4.103111999999999,53.37453572099999,38.00303642099999,0.0,38.00303642099999,5.731352199999999,4.103111999999999,55.01206492099998,39.640565620999986,0.0,39.640565620999986,12.281468999999998,4.103111999999999,61.56218172099999,46.19068242099999,0.0,46.19068242099999,24.562937999999995,4.103111999999999,73.84365072099999,58.47215142099999,0.0,58.47215142099999
2019-01-01 06:00:00,16.187050950000003,45.189381990000015,0.1956483333333333,1.0,0.0,1.4086679999999998,46.598049990000014,30.41099904000001,0.0,30.41099904000001,5.0,1.4086679999999998,51.598049990000014,35.41099904000001,0.0,35.41099904000001,7.0,1.4086679999999998,53.598049990000014,37.41099904000001,0.0,37.41099904000001,15.0,1.4086679999999998,61.598049990000014,45.41099904000001,0.0,45.41099904000001,30.0,1.4086679999999998,76.59804999000002,60.41099904000002,0.0,60.41099904000002
2019-01-01 07:00:00,16.998431950000004,45.189178521,0.0112870466666666,1.0,0.0,0.08126673599999952,45.270445257,28.272013306999995,0.0,28.272013306999995,5.0,0.08126673599999952,50.270445257,33.272013306999995,0.0,33.272013306999995,7.0,0.08126673599999952,52.270445257,35.272013306999995,0.0,35.272013306999995,15.0,0.08126673599999952,60.270445257,43.272013306999995,0.0,43.272013306999995,30.0,0.08126673599999952,75.270445257,58.272013307,0.0,58.272013307
2019-01-01 08:00:00,17.877680799999993,45.226120947999995,0.0473098166666666,1.0,0.0,0.3406306799999995,45.56675162799999,27.689070828,0.0,27.689070828,5.0,0.3406306799999995,50.56675162799999,32.689070828,0.0,32.689070828,7.0,0.3406306799999995,52.56675162799999,34.689070828,0.0,34.689070828,15.0,0.3406306799999995,60.56675162799999,42.689070828,0.0,42.689070828,30.0,0.3406306799999995,75.56675162799999,57.689070828,0.0,57.689070828
2019-01-01 09:00:00,19.456840549999992,45.07513005300001,0.4065775,1.0,0.0,2.927358,48.00248805300001,28.545647503000016,0.0,28.545647503000016,5.0,2.927358,53.00248805300001,33.54564750300001,0.0,33.54564750300001,7.0,2.927358,55.00248805300001,35.54564750300001,0.0,35.54564750300001,15.0,2.927358,63.00248805300001,43.54564750300001,0.0,43.54564750300001,30.0,2.927358,78.00248805300001,58.54564750300001,0.0,58.54564750300001
2019-01-01 10:00:00,20.963961799999996,44.82681852300001,0.8232166666666667,1.0,0.0,5.927160000000001,50.75397852300001,29.79001672300001,0.0,29.79001672300001,5.0,5.927160000000001,55.75397852300001,34.79001672300001,0.0,34.79001672300001,7.0,5.927160000000001,57.75397852300001,36.79001672300001,0.0,36.79001672300001,15.0,5.927160000000001,65.753978523,44.79001672300001,0.0,44.79001672300001,30.0,5.927160000000001,80.753978523,59.79001672300001,0.0,59.79001672300001
2019-01-01 11:00:00,21.950510100000006,44.393786436999996,0.739975,1.0,0.0,5.327820000000001,49.721606437,27.771096336999992,0.0,27.771096336999992,5.0,5.327820000000001,54.721606437,32.77109633699999,0.0,32.77109633699999,7.0,5.327820000000001,56.721606437,34.77109633699999,0.0,34.77109633699999,15.0,5.327820000000001,64.72160643699999,42.77109633699999,0.0,42.77109633699999,30.0,5.327820000000001,79.72160643699999,57.77109633699999,0.0,57.77109633699999
2019-01-01 12:00:00,22.7497583,43.43820926199999,0.3471541666666666,1.0,0.0,2.4995099999999995,45.93771926199999,23.187960961999988,0.0,23.187960961999988,5.0,2.4995099999999995,50.93771926199999,28.187960961999988,0.0,28.187960961999988,7.0,2.4995099999999995,52.93771926199999,30.187960961999988,0.0,30.187960961999988,15.0,2.4995099999999995,60.93771926199999,38.18796096199999,0.0,38.18796096199999,30.0,2.4995099999999995,75.93771926199999,53.18796096199999,0.0,53.18796096199999
2019-01-01 13:00:00,23.090235000000007,42.90982564500001,0.0452175499999999,1.0,0.0,0.3255663599999993,43.23539200500001,20.145157005,0.0,20.145157005,5.0,0.3255663599999993,48.23539200500001,25.145157005,0.0,25.145157005,7.0,0.3255663599999993,50.23539200500001,27.145157005,0.0,27.145157005,15.0,0.3255663599999993,58.23539200500001,35.145157005,0.0,35.145157005,30.0,0.3255663599999993,73.23539200500001,50.145157005,0.0,50.145157005
2019-01-01 14:00:00,23.434503200000005,41.981148477999994,0.0302721833333333,1.0,0.0,0.21795971999999977,42.199108198,18.764604997999992,0.0,18.764604997999992,5.0,0.21795971999999977,47.199108198,23.764604997999992,0.0,23.764604997999992,7.0,0.21795971999999977,49.199108198,25.764604997999992,0.0,25.764604997999992,15.0,0.21795971999999977,57.199108198,33.764604997999996,0.0,33.764604997999996,30.0,0.21795971999999977,72.199108198,48.764604997999996,0.0,48.764604997999996
2019-01-01 15:00:00,24.352425350000004,40.64925677400001,0.2824558333333333,1.0,0.0,2.0336819999999998,42.68293877400001,18.330513424000003,0.0,18.330513424000003,5.0,2.0336819999999998,47.68293877400001,23.330513424000003,0.0,23.330513424000003,7.0,2.0336819999999998,49.68293877400001,25.330513424000003,0.0,25.330513424000003,15.0,2.0336819999999998,57.68293877400001,33.330513424,0.0,33.330513424,30.0,2.0336819999999998,72.68293877400001,48.330513424,0.0,48.330513424
2019-01-01 16:00:00,26.776331300000002,48.08079297799999,0.5870066666666667,1.0,0.0,4.226448,52.30724097799999,25.530909677999986,0.0,25.530909677999986,5.0,4.226448,57.30724097799999,30.530909677999986,0.0,30.530909677999986,7.0,4.226448,59.30724097799999,32.530909677999986,0.0,32.530909677999986,15.0,4.226448,67.30724097799998,40.53090967799998,0.0,40.53090967799998,30.0,4.226448,82.30724097799998,55.53090967799998,0.0,55.53090967799998
2019-01-01 17:00:00,28.042692300000002,44.31685145600001,0.6115999999999999,1.0,0.0,4.403519999999999,48.72037145600001,20.677679156000007,0.0,20.677679156000007,5.0,4.403519999999999,53.72037145600001,25.677679156000007,0.0,25.677679156000007,7.0,4.403519999999999,55.72037145600001,27.677679156000007,0.0,27.677679156000007,15.0,4.403519999999999,63.72037145600001,35.67767915600001,0.0,35.67767915600001,30.0,4.403519999999999,78.72037145600001,50.67767915600001,0.0,50.67767915600001
2019-01-01 18:00:00,27.406857750000004,39.986596025,0.3025391666666667,0.9999999999999998,0.0,2.1782820000000003,42.164878025,14.758020274999996,0.0,14.758020274999996,4.999999999999999,2.1782820000000003,47.164878025,19.758020274999996,0.0,19.758020274999996,6.999999999999998,2.1782820000000003,49.164878025,21.758020274999996,0.0,21.758020274999996,14.999999999999996,2.1782820000000003,57.16487802499999,29.75802027499999,0.0,29.75802027499999,29.999999999999993,2.1782820000000003,72.164878025,44.75802027499999,0.0,44.75802027499999
