scenario_id,wave_capacity_mw,tidal_capacity_mw,wind_generation_mwh,wave_generation_mwh,tidal_generation_mwh,total_renewable_generation_mwh,total_demand_mwh,annual_net_balance_mwh,shortfall_energy_mwh,excess_energy_mwh,shortfall_hours,excess_hours,max_shortfall_mw,max_excess_mw,pct_hours_shortfall,pct_hours_excess
EB1,0,7.2,224249.35836309602,0.0,24817.01025267471,249066.36861577068,195013.13366315,54053.234952620696,48106.448765089925,102159.68371771064,3685,5075,-34.250551425,45.450821399000006,42.0662100456621,57.9337899543379
EB2,5,7.2,224249.35836309602,18101.34706879191,24817.01025267471,267167.7156845626,195013.13366315,72154.58202141259,42643.6167775295,114798.19879894213,3512,5248,-31.55856120298135,49.46824093106231,40.09132420091324,59.90867579908675
EB3,7,7.2,224249.35836309602,25341.885896308675,24817.01025267471,274408.2545120794,195013.13366315,79395.12084892942,40608.37086605189,120003.49171498127,3438,5322,-31.351890568973886,51.39698343908722,39.24657534246575,60.75342465753425
EB4,15,7.2,224249.35836309602,54304.04120637573,24817.01025267471,303370.4098221464,195013.13366315,108357.27615899642,33373.06929210668,141730.34545110312,3119,5641,-30.525208032944025,59.11195347118691,35.60502283105023,64.39497716894978
EB5,30,7.2,224249.35836309602,108608.08241275146,24817.01025267471,357674.45102852216,195013.13366315,162661.31736537218,23589.898481957945,186251.2158473301,2546,6214,-30.291856700000004,73.5775222813738,29.063926940639266,70.93607305936072
