id,wave_mw,battery_mult,status,condition,optimisation_validation_pass,critical_hour_pf_pass,pf_slack_review_needed,objective,mainland_import_mwh,mainland_export_mwh,slack_active_hours,slack_max_mw,gas_generation_mwh,gas_operating_hours,gas_peak_dispatch_mw,combined_gas_import_mwh,wind_available_mwh,wind_dispatch_mwh,wind_curtail_mwh,wind_curtail_pct,wave_available_mwh,wave_dispatch_mwh,wave_curtail_mwh,wave_curtail_pct,tidal_available_mwh,tidal_dispatch_mwh,tidal_curtail_mwh,tidal_curtail_pct,total_renewable_curtail_mwh,interconnector_max_loading_pct,battery_power_capacity_mw,battery_energy_capacity_mwh,battery_charge_mwh,battery_discharge_mwh,battery_throughput_mwh,battery_equivalent_full_cycles,battery_charging_hours,battery_discharging_hours,battery_peak_charge_mw,battery_peak_discharge_mw,battery_mean_soc_mwh,battery_max_soc_mwh,battery_mean_soc_pct,battery_hours_below_10pct,battery_hours_above_80pct,output_file
R01,0,2,ok,optimal,True,,,11380835.609376887,11326.023306811796,0.0,1475.0,24.250551425,29229.316981209526,3380.0,10.0,40555.340288021325,224249.35836309602,131438.70753889187,92810.65082420415,41.387253681202814,0.0,0.0,0.0,,24817.01025267471,24817.01025267471,0.0,0.0,92810.65082420415,58.54177310426918,9.17,73.36,10557.640351190203,8762.007437900123,19319.647789090326,131.67698874788937,1828.0,1624.0,9.17,9.17,18.26984977345855,73.36,24.904375372762473,4782.0,1013.0,DATA/outputs/wave_storage_core_harmonised_v1/R01_wave0MW_batt2x.nc
R02,5,2,ok,optimal,True,,,10613563.724825764,8366.397961080267,0.0,1225.0,21.55856120298134,27078.64114217803,3163.0,10.0,35445.0391032583,224249.35836309602,118369.62818792328,105879.7301751727,47.21517642148,18101.34706879191,18101.34706879191,0.0,0.0,24817.01025267471,24817.01025267471,0.0,0.0,105879.7301751727,52.04320414332327,9.17,73.36,10098.96142199539,8381.340162303837,18480.301584299224,125.9562539824102,1761.0,1621.0,9.17,9.17,17.33496954700748,73.36,23.63000210878882,4972.0,952.0,DATA/outputs/wave_storage_core_harmonised_v1/R02_wave5MW_batt2x.nc
R06,7,2,ok,optimal,True,,,10330507.754069531,7321.965078152343,0.0,1124.0,21.34189056897388,26214.107902651704,3088.0,10.0,33536.07298080405,224249.35836309602,113019.04700692173,111230.31135617426,49.60117262680163,25341.885896308675,25341.885896308675,0.0,0.0,24817.01025267471,24817.01025267471,0.0,0.0,111230.31135617426,51.52015281669047,9.17,73.36,9987.123366313923,8288.523411294618,18275.64677760854,124.56138752459475,1758.0,1627.0,9.17,9.17,17.100322038439632,73.36,23.310144545310298,4988.0,945.0,DATA/outputs/wave_storage_core_harmonised_v1/R06_wave7MW_batt2x.nc
R03,0,3,ok,optimal,True,,,10983414.332564658,9340.813203867223,0.0,1123.0,24.250551425,28451.69850350506,3229.0,10.0,37792.51170737228,224249.35836309602,134815.11972626045,89434.23863683554,39.881602912783826,0.0,0.0,0.0,,24817.01025267471,24817.01025267471,0.0,0.0,89434.23863683554,58.54177310426918,13.754999999999999,110.03999999999999,14165.489727448059,11756.237400093421,25921.727127541482,117.78320214259126,1892.0,1828.0,13.754999999999999,13.754999999999999,27.592502279928063,110.03999999999999,25.074974809094936,4772.0,1040.0,DATA/outputs/wave_storage_core_harmonised_v1/R03_wave0MW_batt3x.nc
R04,5,3,ok,optimal,True,,,10238241.248014877,6661.002858704112,0.0,894.0,20.735529176851685,26103.939198097167,3015.0,10.0,32764.94205680128,224249.35836309602,121629.84801491875,102619.51034817722,45.7613395629073,18101.34706879191,18101.34706879191,0.0,0.0,24817.01025267471,24817.01025267471,0.0,0.0,102619.51034817722,50.05637286320819,13.754999999999999,110.03999999999999,13510.187422148254,11212.388255576705,24722.57567772496,112.33449508235624,1851.0,1805.0,13.754999999999999,13.754999999999999,25.854971547850575,110.03999999999999,23.495975597828586,5073.0,990.0,DATA/outputs/wave_storage_core_harmonised_v1/R04_wave5MW_batt3x.nc
R07,7,3,ok,optimal,True,,,9968069.835576827,5772.068974649278,0.0,780.0,21.351890568973865,25137.40882496321,2917.0,10.0,30909.47779961249,224249.35836309602,116201.6690684772,108047.68929461879,48.18193910712203,25341.885896308675,25341.885896308675,0.0,0.0,24817.01025267471,24817.01025267471,0.0,0.0,108047.68929461879,51.5442932051205,13.754999999999999,110.03999999999999,13256.712161945066,11002.023814153614,24258.73597609868,110.2268992007392,1838.0,1815.0,13.754999999999999,13.754999999999999,26.068794216281315,110.03999999999999,23.690289182371245,4951.0,989.0,DATA/outputs/wave_storage_core_harmonised_v1/R07_wave7MW_batt3x.nc
