id,metric,original_value,harmonised_value,absolute_difference,relative_difference_pct,matches_within_tolerance
R07,objective,9968069.835576829,9968069.835576827,-1.862645149230957e-09,-1.8686116569759868e-14,True
R07,mainland_import_mwh,5772.068974649278,5772.068974649278,0.0,0.0,True
R07,mainland_export_mwh,0.0,0.0,0.0,,True
R07,battery_charge_mwh,13256.712161945066,13256.712161945066,0.0,0.0,True
R07,battery_discharge_mwh,11002.023814153614,11002.023814153614,0.0,0.0,True
R07,battery_throughput_mwh,24258.73597609868,24258.73597609868,0.0,0.0,True
R07,battery_equivalent_full_cycles,110.2268992007392,110.2268992007392,0.0,0.0,True
R07,battery_charging_hours,1838.0,1838.0,0.0,0.0,True
R07,battery_discharging_hours,1815.0,1815.0,0.0,0.0,True
R07,battery_mean_soc_pct,23.690289182371245,23.690289182371245,0.0,0.0,True
R07,wind_curtail_mwh,108047.6892946188,108047.68929461879,-1.4551915228366852e-11,-1.3468048528726467e-14,True
R07,wave_curtail_mwh,0.0,0.0,0.0,,True
R07,tidal_curtail_mwh,0.0,0.0,0.0,,True
R07,interconnector_max_loading_pct,51.5442932051205,51.5442932051205,0.0,0.0,True
