Name,"f_nom
[HZ] ","s_nom
[MVA]","v_nom_0
[KV]","v_nom_1
[KV]","vsc
[%]",PF,"vscr
[%]","pfe
[Kw]","i0
[A]",I_base_33kv,"i0
[%]","phase_shift
[degree]","tap_side
[0 or 1]","tap_neutral
",tap_min,tap_max,"tap_step
[%]"
Thurso_20_MVA,50,20.0,33,33,8,0.196116135,1.568929081,11.0,0.981306763,349.9092541,0.280446073,0,0,0.9285,0.8141,1.0429,1.43
Thurso_30_MVA,50,30.0,33,33,10,0.235330601,2.353306008,14.0,1.040818648,524.8638811,0.198302586,0,0,0.9285,0.8141,1.0429,1.43
SCORRADALE_24_MVA,50,24.0,33,11,8,0.036439871,0.291518965,14.0,6.721661556,419.8911049,1.600810657,0,0,0.975,0.86,1.09,1.4375
SCORRADALE_15_MVA,50,15.0,33,11,8,0.05948921,0.475913682,11.0,3.235041931,262.4319405,1.232716538,0,0,0.9285,0.8141,1.0429,1.43
SCORRADALE_12.5_MVA,50,12.5,33,11,8,0.066661734,0.533293873,8.0,2.099610872,218.6932838,0.960071034,0,0,1.0,0.875,1.125,1.25
SCORRADALE_8.0_MVA,50,8.0,33,11,8,0.070248558,0.561988461,5.0,1.24525423,139.9637016,0.889697982,0,0,0.9285,0.8141,1.0429,1.43
SCORRADALE_4.0_MVA,50,4.0,33,11,7,0.127368125,0.891576878,5.0,0.686806948,69.98185081,0.981407237,0,0,0.9285,0.8141,1.0429,1.43
SCORRADALE_2.5_MVA,50,2.5,33,11,6,0.127830257,0.766981543,2.79,0.381852795,43.73865676,0.873032743,0,0,0.9285,0.8141,1.0429,1.43
SCORRADALE_1.6_MVA,50,1.6,33,11,5,0.127785289,0.638926446,1.98,0.271087669,27.99274032,0.968421332,0,0,0.9285,0.8141,1.0429,1.43
SCORRADALE_1.0_MVA,50,1.0,33,11,4,0.127647187,0.51058875,1.395,0.191200221,17.4954627,1.092856041,0,0,0.9285,0.8141,1.0429,1.43
SCORRADALE_0.2_MVA,50,0.2,33,11,4,0.129808983,0.519235933,0.468,0.063076348,3.499092541,1.802648738,0,0,1.0,0.95,1.05,1.25
