DateTime,FLTOCC1C [MW],KIRKWA1A [MW],KIRKWA1B [MW],KIRKWA1C [MW],STMARY1A [MW],STROMN1A [MW],STROMN1B [MW],WESTRY1A [MW],ROUSAY1A [MW],BURGAR1A [MW],LYNESS1A [MW],SANDAY1A [MW],STRONS1A [MW],SHAPIN1A [MW],EDAY1A [MW],FLOTTA1A [MW],NTHHOY1A [MW],FLTOCC1C [MVar],KIRKWA1A [MVar],KIRKWA1B [MVar],KIRKWA1C [MVar],STMARY1A [MVar],STROMN1A [MVar],STROMN1B [MVar],WESTRY1A [MVar],ROUSAY1A [MVar],BURGAR1A [MVar],LYNESS1A [MVar],SANDAY1A [MVar],STRONS1A [MVar],SHAPIN1A [MVar],EDAY1A [MVar],FLOTTA1A [MVar],NTHHOY1A [MVar]
01/02/2019 07:00,7.468058675,4.389417025,4.389417025,4.389417025,2.490473213,2.08379675,2.08379675,1.606540075,1.2637219,1.172975913,0.76629945,0.6184171,0.272237963,0.235267375,0.205018713,0.124355613,0.050414438,1.516453992,0.891309142,0.891309142,0.891309142,0.505712155,0.423132977,0.423132977,0.326221876,0.256609676,0.238182918,0.15560374,0.125574948,0.055280276,0.047773078,0.041630825,0.025251484,0.010237088
01/02/2019 08:00,7.468058675,4.389417025,4.389417025,4.389417025,2.490473213,2.08379675,2.08379675,1.606540075,1.2637219,1.172975913,0.76629945,0.6184171,0.272237963,0.235267375,0.205018713,0.124355613,0.050414438,1.516453992,0.891309142,0.891309142,0.891309142,0.505712155,0.423132977,0.423132977,0.326221876,0.256609676,0.238182918,0.15560374,0.125574948,0.055280276,0.047773078,0.041630825,0.025251484,0.010237088
01/02/2019 09:00,7.36287475,4.32759425,4.32759425,4.32759425,2.455396125,2.0544475,2.0544475,1.58391275,1.245923,1.156455125,0.7555065,0.609707,0.268403625,0.23195375,0.202131125,0.122604125,0.049704375,1.495095485,0.878755492,0.878755492,0.878755492,0.498589448,0.417173358,0.417173358,0.321627202,0.252995456,0.234828229,0.153412138,0.123806287,0.054501681,0.047100218,0.041044476,0.024895829,0.010092904
01/02/2019 10:00,7.853733066,4.616100533,4.616100533,4.616100533,2.6190892,2.191410666,2.191410666,1.689506933,1.328984533,1.233552133,0.8058736,0.650354133,0.2862972,0.247417333,0.215606533,0.130777733,0.053018,1.594768517,0.937339192,0.937339192,0.937339192,0.531828745,0.444984915,0.444984915,0.343069015,0.269861819,0.250483444,0.163639614,0.132060039,0.058135126,0.050240232,0.043780774,0.026555551,0.010765764
01/02/2019 11:00,7.36287475,4.32759425,4.32759425,4.32759425,2.455396125,2.0544475,2.0544475,1.58391275,1.245923,1.156455125,0.7555065,0.609707,0.268403625,0.23195375,0.202131125,0.122604125,0.049704375,1.495095485,0.878755492,0.878755492,0.878755492,0.498589448,0.417173358,0.417173358,0.321627202,0.252995456,0.234828229,0.153412138,0.123806287,0.054501681,0.047100218,0.041044476,0.024895829,0.010092904
01/02/2019 12:00,7.503119984,4.410024617,4.410024617,4.410024617,2.502165575,2.093579834,2.093579834,1.614082517,1.269654867,1.178482842,0.7698971,0.621320467,0.273516075,0.236371917,0.205981242,0.124939442,0.050651125,1.523573495,0.895493692,0.895493692,0.895493692,0.50808639,0.425119517,0.425119517,0.327753434,0.257814417,0.239301147,0.156334274,0.126164502,0.055539808,0.047997365,0.041826275,0.025370036,0.01028515
01/02/2019 13:00,8.134223534,4.780961267,4.780961267,4.780961267,2.7126281,2.269675334,2.269675334,1.749846467,1.376448267,1.277607567,0.8346548,0.673581067,0.2965221,0.256253667,0.223306767,0.135448367,0.0549115,1.651724536,0.970815591,0.970815591,0.970815591,0.550822629,0.460877233,0.460877233,0.35532148,0.279499741,0.259429281,0.169483886,0.136776469,0.06021138,0.052034526,0.045344373,0.027503964,0.011150256
01/02/2019 14:00,7.538181291,4.430632208,4.430632208,4.430632208,2.513857937,2.103362916,2.103362916,1.621624958,1.275587833,1.183989771,0.77349475,0.624223833,0.274794187,0.237476458,0.206943771,0.125523271,0.050887812,1.530692997,0.899678242,0.899678242,0.899678242,0.510460626,0.427106057,0.427106057,0.329284992,0.259019157,0.240419377,0.157064808,0.126754056,0.05579934,0.048221652,0.042021725,0.025488587,0.010333211
01/02/2019 15:00,7.082384284,4.162733517,4.162733517,4.162733517,2.361857225,1.976182834,1.976182834,1.523573217,1.198459267,1.112399692,0.7267253,0.586480067,0.258178725,0.223117417,0.194430892,0.117933492,0.047810875,1.438139467,0.845279093,0.845279093,0.845279093,0.479595565,0.401281039,0.401281039,0.309374737,0.243357534,0.225882392,0.147567866,0.119089857,0.052425426,0.045305924,0.039480876,0.023947417,0.009708412
01/02/2019 16:00,7.818671759,4.595492942,4.595492942,4.595492942,2.607396838,2.181627584,2.181627584,1.681964492,1.323051567,1.228045204,0.80227595,0.647450767,0.285019088,0.246312792,0.214644004,0.130193904,0.052781313,1.587649015,0.933154642,0.933154642,0.933154642,0.52945451,0.442998375,0.442998375,0.341537457,0.268657079,0.249365214,0.16290908,0.131470486,0.057875594,0.050015946,0.043585324,0.026437,0.010717703
01/02/2019 17:00,7.538181291,4.430632208,4.430632208,4.430632208,2.513857937,2.103362916,2.103362916,1.621624958,1.275587833,1.183989771,0.77349475,0.624223833,0.274794187,0.237476458,0.206943771,0.125523271,0.050887812,1.530692997,0.899678242,0.899678242,0.899678242,0.510460626,0.427106057,0.427106057,0.329284992,0.259019157,0.240419377,0.157064808,0.126754056,0.05579934,0.048221652,0.042021725,0.025488587,0.010333211
